time,seconds_elapsed,y,z,x,hypothesis
1706202039355712300,1.027712158203125,-8.494627952575684,0.6177040338516235,2.604891538619995,
1706202039365696000,1.037696044921875,-8.327033042907715,0.05746084079146385,-0.3208230137825012,
1706202039375599000,1.04759912109375,-9.5624418258667,1.6950948238372803,0.181959331035614,
1706202039385708000,1.0577080078125,-8.89685344696045,2.2409727573394775,1.0007762908935547,
1706202039395650000,1.067650146484375,-8.968679428100586,3.184288263320923,2.4372973442077637,
1706202039405666600,1.07766650390625,-10.122684478759766,3.7493197917938232,6.27280855178833,
1706202039415698200,1.0876982421875,-9.284713745117188,3.35667085647583,8.015787124633789,
1706202039425674800,1.0976748046875,-8.508993148803711,2.5953147411346436,8.523358345031738,
1706202039435752000,1.107751953125,-8.389283180236816,3.2178070545196533,7.95832633972168,
1706202039445871900,1.117871826171875,-8.62391471862793,4.5394062995910645,6.277596950531006,
1706202039455893500,1.1278935546875,-8.825027465820312,5.7987565994262695,5.166687488555908,
1706202039465783800,1.13778369140625,-9.02135181427002,6.268020153045654,4.802768707275391,
1706202039475726800,1.147726806640625,-9.945513725280762,5.722142219543457,5.578489780426025,
1706202039485588500,1.15758837890625,-12.038045883178711,5.9088897705078125,7.264008045196533,
1706202039495656700,1.16765673828125,-11.295844078063965,7.848193168640137,7.987056732177734,
1706202039505701400,1.177701416015625,-8.978256225585938,10.63504409790039,8.355764389038086,
1706202039515732700,1.187732666015625,-4.505887508392334,8.62391471862793,6.172252178192139,
1706202039525732900,1.19773291015625,-1.7525556087493896,4.137180328369141,2.5091233253479004,
1706202039536161800,1.208161865234375,-9.23682975769043,0.7805097699165344,2.2649147510528564,
1706202039546040800,1.218040771484375,-18.579004287719727,0.646434485912323,-0.13407529890537262,
1706202039556278500,1.228278564453125,-17.243040084838867,2.82515811920166,-2.2409727573394775,
1706202039566288100,1.2382880859375,-14.786589622497559,3.19865345954895,0.8188169598579407,
1706202039576514000,1.24851416015625,-15.840038299560547,1.3742717504501343,5.214571475982666,
1706202039586389000,1.258388916015625,-16.170438766479492,-0.9097966551780701,6.62236213684082,
1706202039596129500,1.268129638671875,-13.991714477539062,-2.964021682739258,5.932831764221191,
1706202039606598700,1.2785986328125,-12.48815631866455,-1.8818424940109253,7.053318023681641,
1706202039616534300,1.2885341796875,-12.679692268371582,1.5418659448623657,9.50498104095459,
1706202039635816400,1.30781640625,-12.425907135009766,1.7477672100067139,5.5976433753967285,
1706202039645644800,1.317644775390625,-12.167332649230957,0.7086837291717529,2.7293899059295654,
1706202039655586800,1.3275869140625,-12.181697845458984,1.0965443849563599,3.1890766620635986,
1706202039665644000,1.33764404296875,-11.578359603881836,1.5131354331970215,2.983175277709961,
1706202039675819000,1.347819091796875,-11.166556358337402,1.3120225667953491,3.6774938106536865,
1706202039685740500,1.357740478515625,-11.113883972167969,1.2401964664459229,3.5960910320281982,
1706202039695874300,1.367874267578125,-11.410765647888184,2.38462495803833,4.285621166229248,
1706202039705786000,1.3777861328125,-11.267112731933594,3.5194764137268066,4.271255970001221,
1706202039715803600,1.3878037109375,-11.042057991027832,2.782062292098999,3.7684733867645264,
1706202039725896700,1.397896728515625,-10.917559623718262,0.7374141216278076,3.5386300086975098,
1706202039735715800,1.4077158203125,-11.219228744506836,0.4118026793003082,3.4572272300720215,
1706202039745843500,1.417843505859375,-11.386823654174805,3.4811692237854004,3.6966474056243896,
1706202039755823600,1.42782373046875,-11.434707641601562,6.081272125244141,3.35667085647583,
1706202039765987800,1.43798779296875,-10.989385604858398,5.659893035888672,3.203441858291626,
1706202039776080400,1.448080322265625,-11.061211585998535,3.2417490482330322,3.60566782951355,
1706202039786264300,1.458264404296875,-11.578359603881836,1.920149803161621,3.892971992492676,
1706202039795986200,1.467986083984375,-11.334151268005371,1.5083470344543457,3.6152446269989014,
1706202039806012200,1.47801220703125,-10.931924819946289,1.173158884048462,3.270479440689087,
