loggingTime(txt),loggingSample(N),accelerometerTimestamp_sinceReboot(s),accelerometerAccelerationX(G),accelerometerAccelerationY(G),accelerometerAccelerationZ(G),gyroTimestamp_sinceReboot(s),gyroRotationX(rad/s),gyroRotationY(rad/s),gyroRotationZ(rad/s),magnetometerTimestamp_sinceReboot(s),magnetometerX(µT),magnetometerY(µT),magnetometerZ(µT),label(N)
2023-02-18T22:08:02.543Z,1045,2018967.972364667,-0.4647674560546875,0.2803192138671875,1.012924194335938,2018967.953382292,2.524438142776489,0.8690853118896484,0.9851328134536743,2018967.955450667,137.0024566650391,123.6681060791016,-442.6472778320312,3
2023-02-18T22:08:02.563Z,1046,2018967.992383667,-0.4542999267578125,0.471527099609375,0.8874664306640625,2018967.973364667,2.347406625747681,1.077785491943359,0.8684733510017395,2018967.975164667,136.6844329833984,124.8682708740234,-444.0170288085938,3
2023-02-18T22:08:02.583Z,1047,2018968.012403667,-0.545440673828125,0.4452667236328125,0.8299560546875,2018967.993383667,2.534239053726196,0.7979621291160583,0.7282323241233826,2018967.994879667,136.39990234375,126.1268005371094,-445.5595092773438,3
2023-02-18T22:08:02.603Z,1048,2018968.032392667,-0.432525634765625,0.3450775146484375,0.919403076171875,2018968.013403667,2.600185632705688,1.143193006515503,0.5100097060203552,2018968.014593667,135.6542816162109,127.5032348632812,-446.9120483398438,3
2023-02-18T22:08:02.624Z,1049,2018968.052411667,-0.3922119140625,0.4275665283203125,0.9985504150390625,2018968.033392667,2.685654163360596,1.222082495689392,0.6193580627441406,2018968.034307667,135.2600402832031,128.2956848144531,-448.8306274414062,3
2023-02-18T22:08:02.643Z,1050,2018968.072431667,-0.512847900390625,0.5819549560546875,0.7733001708984375,2018968.053411667,2.902571201324463,0.6834565997123718,0.7149348855018616,2018968.054022667,135.1956634521484,129.3503265380859,-450.669921875,3
2023-02-18T22:08:02.664Z,1051,2018968.092420667,-0.5734710693359375,0.7095489501953125,0.7455596923828125,2018968.073431667,2.775256395339966,0.6193782687187195,0.5384477376937866,2018968.073705667,134.7202301025391,130.1621551513672,-452.3379821777344,3
2023-02-18T22:08:02.684Z,1052,2018968.112439667,-0.613006591796875,0.747711181640625,0.589813232421875,2018968.093420667,2.62242317199707,0.8262366652488708,0.2530833780765533,2018968.093389667,134.3453369140625,131.0770263671875,-453.9949951171875,3
2023-02-18T22:08:02.704Z,1053,2018968.132459667,-0.61871337890625,0.6933441162109375,0.708709716796875,2018968.113439667,2.692727565765381,0.7188726663589478,0.1254641860723495,2018968.113104667,133.9796295166016,131.4943695068359,-455.6580200195312,3
2023-02-18T22:08:02.723Z,1054,2018968.152448667,-0.527313232421875,0.6787567138671875,0.7564239501953125,2018968.133459667,2.534613132476807,1.013879060745239,0.2800300419330597,2018968.132818667,133.5056304931641,131.8966674804688,-457.5022583007812,3
2023-02-18T22:08:02.744Z,1055,2018968.172467667,-0.492431640625,0.8301239013671875,0.7576904296875,2018968.153448667,2.654792308807373,0.8491219878196716,0.2779935300350189,2018968.152532667,133.4272003173828,132.1922149658203,-459.4255676269531,3
